n,iterativo,dyv
100000,0.208366,0.000062
200000,0.413799,0.000068
300000,0.630273,0.000074
400000,0.849510,0.000079
500000,1.070831,0.000076
600000,1.272991,0.000089
700000,1.497601,0.000088
800000,1.710270,0.000087
900000,1.938614,0.000086
1000000,2.193240,0.000085
1100000,2.366845,0.000097
1200000,2.604785,0.000098
1300000,2.869199,0.000101
1400000,3.044130,0.000101
1500000,3.266649,0.000109
1600000,3.479323,0.000102
1700000,3.717847,0.000110
1800000,3.986314,0.000103
1900000,4.193485,0.000111
2000000,4.405753,0.000156
2100000,4.629085,0.000132
2200000,4.796125,0.000128
2300000,4.986715,0.000141
2400000,5.214099,0.000132
2500000,5.591343,0.000136
2600000,5.663049,0.000129
2700000,5.960650,0.000137
2800000,6.236944,0.000140
2900000,6.599212,0.000136
3000000,6.746272,0.000139
3100000,7.076656,0.000193
3200000,7.127100,0.000149
3300000,7.353830,0.000149
3400000,7.569861,0.000187
3500000,7.773287,0.000152
3600000,7.965793,0.000155
3700000,8.363092,0.000169
3800000,8.572280,0.000159
3900000,8.761857,0.000203
4000000,8.904716,0.000174
4100000,9.266376,0.000167
4200000,9.398463,0.000249
4300000,9.580524,0.000152
4400000,9.871798,0.000302
4500000,10.423922,0.000198
4600000,10.283883,0.000157
4700000,10.645461,0.000190
4800000,10.568934,0.000242
4900000,10.771461,0.000168
5000000,11.042801,0.000197
5100000,11.388786,0.000218
5200000,11.643309,0.000233
5300000,11.730668,0.000220
5400000,12.059209,0.000193
5500000,13.768197,0.000403
5600000,12.659522,0.000207
5700000,12.518761,0.000360
5800000,13.053988,0.000269
5900000,14.240532,0.000247
6000000,13.230885,0.000209
6100000,13.498889,0.000229
6200000,13.813573,0.000217
6300000,13.937865,0.000415
6400000,14.083256,0.000233
6500000,14.400463,0.000246
6600000,14.722380,0.000205
6700000,14.740995,0.000262
6800000,15.029835,0.000252
6900000,14.927461,0.000225
7000000,15.262632,0.000225
7100000,15.673583,0.000207
7200000,15.659384,0.000241
7300000,16.346999,0.000279
7400000,16.308180,0.000295
7500000,16.357901,0.000266
7600000,16.708713,0.000220
7700000,16.829612,0.000239
7800000,17.082981,0.000262
7900000,17.306672,0.000314
8000000,17.775079,0.000380
8100000,17.871992,0.000225
8200000,17.981386,0.000255
8300000,18.330234,0.000317
8400000,18.313161,0.000355
8500000,18.426724,0.000267
8600000,18.858777,0.000311
8700000,19.014049,0.000294
8800000,19.211587,0.000262
8900000,19.498517,0.000327
9000000,19.638782,0.000362
9100000,19.920431,0.000308
9200000,20.112257,0.000350
9300000,20.281130,0.000340
9400000,20.503614,0.000624
9500000,20.912498,0.000348
9600000,20.894672,0.000327
9700000,21.473806,0.000412
9800000,21.483003,0.000282
9900000,22.101862,0.000295
10000000,21.569462,0.000271
